target_id	model_id	TP	FP	precision	FPR	recall	F1	F2	F05	BA	EF	num_uniq_F	max_edge	features
CHEMBL299	tr6_pharm7_0	1	0	1.0	0.0	0.008	0.016	0.01	0.039	0.504	5.707999999999999	5	12.200302108719725	aDAAHHH
CHEMBL299	tr6_pharm7_1	1	0	1.0	0.0	0.008	0.016	0.01	0.039	0.504	5.707999999999999	5	12.250771348191964	aDAAHHH
CHEMBL299	tr6_pharm7_2	1	0	1.0	0.0	0.008	0.016	0.01	0.039	0.504	5.707999999999999	5	12.575097668472269	aDAAHHH
CHEMBL299	tr3_pharm5_0	24	12	0.667	0.021	0.192	0.298	0.22399999999999998	0.446	0.586	3.805	4	12.764476774892405	DAAHH
CHEMBL299	tr1_pharm4_1	10	7	0.588	0.012	0.08	0.141	0.09699999999999999	0.259	0.534	3.3569999999999998	4	17.33370345064424	AAHH
CHEMBL299	tr1_pharm4_0	2	3	0.4	0.005	0.016	0.031	0.02	0.069	0.505	2.283	4	16.585379123767652	AAHH
CHEMBL211	tr19_pharm5_0	9	4	0.6920000000000001	0.006	0.023	0.045	0.028999999999999998	0.102	0.509	2.045	4	6.9217413473722935	aAPHH
CHEMBL211	tr62_pharm5_0	11	4	0.733	0.006	0.027999999999999997	0.055	0.035	0.12300000000000001	0.511	2.166	4	6.34949809209536	aAPHH
CHEMBL211	tr62_pharm5_1	10	4	0.7140000000000001	0.006	0.026000000000000002	0.05	0.032	0.113	0.51	2.11	4	6.617162364219915	aAPHH
CHEMBL211	tr20_pharm10_12	14	0	1.0	0.0	0.036000000000000004	0.07	0.045	0.158	0.518	2.9539999999999997	6	5.750378432592405	aDAAAAPPHH
CHEMBL211	tr20_pharm10_3	14	0	1.0	0.0	0.036000000000000004	0.07	0.045	0.158	0.518	2.9539999999999997	6	5.813298431554228	aDAAAAPPHH
CHEMBL211	tr20_pharm10_0	14	0	1.0	0.0	0.036000000000000004	0.07	0.045	0.158	0.518	2.9539999999999997	6	5.770673399238614	aDAAAAPPHH
CHEMBL211	tr20_pharm10_14	14	0	1.0	0.0	0.036000000000000004	0.07	0.045	0.158	0.518	2.9539999999999997	6	6.2913497831125	aDAAAAPPHH
CHEMBL211	tr20_pharm10_6	14	0	1.0	0.0	0.036000000000000004	0.07	0.045	0.158	0.518	2.9539999999999997	6	6.297542809507037	aDAAAAPPHH
CHEMBL211	tr20_pharm10_4	13	0	1.0	0.0	0.034	0.065	0.042	0.14800000000000002	0.517	2.9539999999999997	6	5.75049275343783	aDAAAAPPHH
CHEMBL211	tr20_pharm10_8	13	0	1.0	0.0	0.034	0.065	0.042	0.14800000000000002	0.517	2.9539999999999997	6	5.715675346632914	aDAAAAPPHH
CHEMBL211	tr20_pharm10_13	12	0	1.0	0.0	0.031	0.06	0.038	0.138	0.515	2.9539999999999997	6	6.354731026153263	aDAAAAPPHH
CHEMBL211	tr20_pharm10_7	12	0	1.0	0.0	0.031	0.06	0.038	0.138	0.515	2.9539999999999997	6	5.712455899839632	aDAAAAPPHH
CHEMBL211	tr20_pharm10_5	12	0	1.0	0.0	0.031	0.06	0.038	0.138	0.515	2.9539999999999997	6	6.1382306743163175	aDAAAAPPHH
CHEMBL211	tr20_pharm10_1	11	0	1.0	0.0	0.027999999999999997	0.055	0.035	0.127	0.514	2.9539999999999997	6	6.514503694440505	aDAAAAPPHH
CHEMBL211	tr20_pharm10_2	11	0	1.0	0.0	0.027999999999999997	0.055	0.035	0.127	0.514	2.9539999999999997	6	6.24530826746626	aDAAAAPPHH
CHEMBL211	tr20_pharm10_9	11	0	1.0	0.0	0.027999999999999997	0.055	0.035	0.127	0.514	2.9539999999999997	6	6.342569038528046	aDAAAAPPHH
CHEMBL211	tr20_pharm10_15	9	0	1.0	0.0	0.023	0.045	0.028999999999999998	0.106	0.512	2.9539999999999997	6	6.1519169880131255	aDAAAAPPHH
CHEMBL211	tr20_pharm10_11	8	0	1.0	0.0	0.021	0.04	0.026000000000000002	0.095	0.51	2.9539999999999997	6	6.433276309612446	aDAAAAPPHH
CHEMBL211	tr20_pharm10_10	4	0	1.0	0.0	0.01	0.02	0.013000000000000001	0.05	0.505	2.9539999999999997	6	6.321459371018003	aDAAAAPPHH
CHEMBL211	tr5_pharm8_1	7	2	0.778	0.003	0.018000000000000002	0.035	0.022000000000000002	0.083	0.508	2.298	6	8.58550466719871	aaDAPHHH
